material_id,formula,band_gap_eV,e_above_hull_eV,n_atoms,volume_A3,atomic_density,mean_mass_amu,max_mass_amu,min_mass_amu,std_mass_amu,mean_eneg,std_eneg,n_elements,emt_energy_per_atom
mp-5710,Ag3Te2Au,0.1725,0.0,24,572.3472,0.041933,129.2952,196.9666,107.8682,31.5238,2.0883,0.2158,3,
mp-684006,Ag3TeIO4,0.1965,0.0485,108,1951.5324,0.055341,71.345,127.6,15.999,50.0067,2.7011,0.6937,4,
mp-28996,Ag4Bi2O5,1.6389,0.023,44,766.0816,0.057435,84.4935,208.9804,15.999,71.7552,2.6327,0.7376,3,
mp-1229230,Ag4C(NO3)3,2.3921,0.2722,34,452.8955,0.075073,37.0292,107.8682,12.011,39.3095,2.9618,0.6186,4,0.261455
mp-1229155,Ag4Hg4S4BrCl3,1.5994,0.018,16,420.94,0.03801,96.7709,200.592,32.06,67.0462,2.405,0.4808,5,
mp-1229204,Ag4Hg5S5IBrCl2,0.8687,0.0554,36,969.4343,0.037135,104.0245,200.592,32.06,67.942,2.3644,0.432,6,
mp-542199,Ag4HgGe2S7,0.4631,0.0023,28,659.6479,0.042447,71.5532,200.592,32.06,48.4373,2.2714,0.3097,4,
mp-558550,Ag4Mo2Se3O16,1.6143,0.0,100,1505.9735,0.066402,44.6508,107.8682,15.999,38.9448,2.9892,0.6227,4,
mp-27482,Ag4P2S7,1.6556,0.0066,26,578.8931,0.044913,55.2185,107.8682,30.9738,35.1018,2.32,0.2929,3,
mp-553924,Ag4PIO4,0.6932,0.0312,40,692.4998,0.057762,65.3347,126.9045,15.999,46.8444,2.633,0.6913,4,
mp-560947,Ag4S(NO)2,0.6702,0.4285,36,568.4706,0.063328,58.1716,107.8682,14.007,44.7448,2.5844,0.6318,4,
mp-556570,Ag4Se(IO2)2,0.7545,0.0874,44,918.5838,0.0479,75.2953,126.9045,15.999,46.3668,2.6682,0.645,4,
mp-1229187,Ag4Sn2(HgSe3)3,0.4035,0.0173,18,533.8015,0.03372,110.0782,200.592,78.971,43.1121,2.255,0.2958,4,
mp-1195808,Ag4Sn3S8,0.2293,0.0079,60,1297.6991,0.046236,69.6055,118.71,32.06,40.3048,2.2827,0.318,3,
mp-1182984,Ag4Te(PO7)2,0.084,0.0632,42,583.941,0.071925,40.2384,127.6,15.999,40.429,2.9695,0.6688,4,
mp-554357,Ag4TeO5,0.2437,0.0,40,547.1524,0.073106,63.9068,127.6,15.999,48.2318,2.702,0.7396,3,
mp-1199607,Ag4TeSO4,0.6883,0.0325,40,722.4628,0.055366,65.5129,127.6,15.999,46.8575,2.616,0.6976,4,
mp-1247859,Ag5Au3S4,0.9309,0.0247,12,284.4701,0.042184,104.8734,196.9666,32.06,62.3802,2.2992,0.3124,3,
mp-1247860,Ag5Au3S4,1.0997,0.0793,12,325.4884,0.036868,104.8734,196.9666,32.06,62.3802,2.2992,0.3124,3,
mp-28812,Ag5BiO4,1.459,0.0,40,657.932,0.060797,81.2317,208.9804,15.999,60.7359,2.543,0.7329,3,
